game_id,team,average_starting_field_position,season
3913,KC,32.0000,2014
3914,MIA,29.9091,2014
3914,NYJ,27.8000,2014
3915,CHI,22.6364,2014
3915,DAL,40.0000,2014
3916,CIN,23.0714,2014
3916,PIT,27.7143,2014
3917,CLE,30.8667,2014
3917,IND,22.1176,2014
3918,DET,34.9167,2014
3918,TB,23.1667,2014
3919,NYG,35.5385,2014
3919,TEN,21.7692,2014
3920,BAL,19.8000,2014
3920,MIA,28.3000,2014
3921,MIN,23.6364,2014
3921,NYJ,31.3333,2014
3922,CAR,33.7500,2014
3922,NO,24.0833,2014
3923,STL,36.3000,2014
3923,WAS,19.3000,2014
3924,HOU,32.8182,2014
3924,JAC,25.3636,2014
3925,BUF,19.3636,2014
3925,DEN,41.9091,2014
3926,ARI,32.4545,2014
3926,KC,20.9091,2014
